shop_name,digital_listing_count,sold_count,active_listing_count,favorites_count,average_rating,total_rating_count
DIYCraftTutorials,204,60351,204,7492,4.9419,4085
BlueOakCreations,0,60345,406,4764,4.9535,10646
MelodyOfCuteness,0,60330,595,5241,4.8442,8798
GlassEyesOnLine,0,60327,254,11347,4.9647,18042
TheAladdinsCave,0,60325,555,20638,4.8815,13463
MTthreadz,0,60305,1585,13467,4.9456,12458
BumbleBeeArtandCraft,0,60261,229,5253,4.907,5928
RandDDesignsILM,0,60253,699,3422,4.9432,9064
LittleOrchardCraft,0,60252,0,2730,4.8619,5935
DoubleStitchDesigns1,0,60251,192,6472,4.9185,10275
ikandiclay,2,60250,256,8209,4.9674,15941
OxAndPine,0,60203,157,5786,4.959,9365
SimpleSouthernMommy,4,60194,465,7059,4.1534,13634
BeadsShopUSA,0,60148,727,4884,4.9046,9732
GrandmasCupboardS,0,60147,3492,2287,4.9717,13354
alumandink,0,60129,329,28371,4.9932,19065
SayItWithPillows,0,60108,257,18802,4.88,7655
LemonCatShop,0,60107,2811,21158,4.9234,17673
FirebirdBathBody,0,60084,80,27334,4.9404,27199
MBeadsUK,0,60052,405,7411,4.9365,8260
thecarboncrusader,0,60002,454,23953,4.964,12670
BeYouApparelLLC,0,59996,344,3384,4.7588,8816
EvileyeFavorSupplies,0,59990,1875,10056,4.8075,9093
CraftSupprise,0,59971,3048,4533,4.8759,7123
BrielleShoppe,0,59970,99,4096,4.9677,13832
WyldeThymeStudio,0,59957,621,4029,4.9347,9226
TheDreamWeddingShop,0,59949,266,4178,4.9258,10289
TheBespokeWorkshop1,0,59895,246,2748,4.915,7830
PomLove,0,59875,312,28181,4.9444,9851
Dreambeadstory,0,59838,1649,9662,4.7712,5451
DivinePartyGifts,0,59788,34,1217,4.8519,6083
AOSDESIGN,0,59785,298,16200,4.8279,11525
InnerArt4BeadsSupply,0,59757,3033,15977,4.9063,19798
limegreenmodern,0,59743,781,17538,4.9317,14215
GingerBelleDesign,0,59729,91,1748,4.9149,6661
ShopAfroCosmetics,0,59719,141,6024,4.879,13684
MarySupplies,0,59716,396,8279,4.9781,13453
CraftBlitz,0,59686,1388,4674,4.8996,8819
SewCrazyHappy,0,59678,1292,4151,4.981,12645
ClipartWarehouse,2059,59667,2059,621,4.9324,2978
GoGoCutePuppy,0,59641,79,3078,4.8443,10024
CaritasDeiSupplies,0,59617,1129,8144,4.9902,11642
badgerfacebeauty,0,59605,157,21228,4.9019,11706
WonderLinen,0,59602,292,7956,4.9371,6476
TpcDesignStudio,0,59587,26,8490,4.9314,12946
EBOBeardButter,0,59575,21,3507,4.9303,2660
HifaCrafts,0,59563,82,1633,4.8563,9755
IkersonLTD,0,59557,5653,2284,4.8734,8805
NamiCharmsSupplies,0,59507,167,7159,4.9487,10880
BlessedBelleStudio,746,59496,746,2851,4.9893,3164
AnelasJewerly,0,59485,1279,5218,4.8377,9803
BubblyAndBash,0,59475,369,4013,4.9609,7121
JennyVstickers,0,59463,1373,5240,4.9727,13103
XGraphicsPrint,0,59451,639,635,4.7414,3160
PacificSunset,0,59431,2771,2498,4.9731,11142
ISewForDoll,0,59402,379,7485,4.9678,13966
TeamSpiritSVG,1435,59351,1435,2473,4.8952,1893
karensilverbead,0,59341,1494,13937,4.9157,15148
EvasFeathers,0,59335,352,18724,4.8946,14259
ElyseBreanneDesign,9,59319,767,22447,4.9764,11115
FondantFlowers,0,59289,201,3730,4.8258,7164
HelloNutcase,0,59283,1460,25259,4.8165,10456
MichelleLeeStudioGB,0,59262,674,8237,4.8945,10468
MakeYouBlushBoutique,0,59253,134,3620,4.5967,6485
BossBabeDigitalLab,1740,59245,1818,9790,4.7782,2640
LMTCreativeAtHome,0,59237,70,4093,4.9371,9281
BrandonScottAD,0,59216,380,4392,4.6924,10140
DayzeeCreationz,0,59139,514,3600,4.9491,10808
theslipperypearl,0,59115,2925,9372,4.8076,13091
PhilipJonesJewellery,0,59109,1255,2324,4.9058,8627
ArtisticPsychic,2,59102,27,4201,4.8083,6009
beautifulwork,0,59099,370,25042,4.9362,28998
TeresaLynnsSimpleLux,0,59081,275,6521,4.9542,14434
Petidsrus,0,59063,243,1273,4.6035,3452
MBACosmetics,0,59062,538,25202,4.7976,18083
Trimmingshop,0,59044,1323,2641,4.7152,5701
GoldStarLine,0,59040,24,1892,4.4786,8364
DivineSpecialties,0,59019,419,2698,4.8707,5126
BaumDesignsShop,0,59007,813,4125,4.9422,8990
fawnandsage,0,59006,22,31026,4.8991,8317
MikesCookieCutters,0,58991,1468,2373,4.9629,6508
SunlightSupplies,0,58991,519,5104,4.9738,9241
thePrairiePlanner,0,58982,408,3414,4.9952,11209
BaylorsBowTies,0,58955,240,4103,4.9726,10619
TimelessTreasuresUSA,0,58951,80,2503,4.9683,7439
LamourFouPrintShop,0,58949,293,10864,4.9653,4769
ShirtsBySarah,0,58948,5092,4281,4.9439,10723
DesignEclipse,0,58932,1568,2548,4.8607,10084
TribalStyle,0,58890,83,25801,4.7983,17868
BEADNOVA,0,58860,125,4932,4.7974,5522
LittleGemGirl,0,58854,2650,14669,4.9368,13551
ArieAndCo,0,58839,519,4459,4.8997,8058
PongsArt,0,58836,150,1342,4.8782,5348
WOWFACE,0,58827,28,865,4.839,6504
Romazone,0,58796,236,19725,4.9265,22205
INKYRoseDesign,107,58773,241,1811,4.9209,6163
HamlinRowShop,0,58742,323,4437,4.9575,10578
solivioBeads,0,58741,1137,8169,4.9812,31254
amandadeer,0,58722,328,21905,4.9171,9072
HaydenHarlowPR,0,58719,509,4418,4.8969,6789
ThePrettyPinkCo,0,58708,195,2776,4.8889,4482
OBDesignCoByJamie,299,58707,299,5410,4.9841,2959
SoBespoke,0,58704,94,606,4.8681,6820
FancyFannyShop,0,58651,167,3057,4.7226,9639
BrumleyandBloom,0,58643,252,15682,4.8123,14867
PoopingPooches,0,58635,14,1693,4.9353,4599
VinylBoutiqueShop,0,58572,947,6772,4.7621,6757
monmon85design,1563,58550,1563,2225,4.963,2364
FancyCelebration,0,58543,1609,2999,4.8207,5901
SincereImpressions,0,58527,648,3541,4.9482,9797
DIYfish,133,58498,250,13355,4.9505,7969
SaltoftheArt,0,58446,1903,9032,4.9779,15822
MosaicSurplus,0,58443,520,3028,4.9704,5637
SincerelyMeGift,0,58443,48,3087,4.9641,8601
TheStitchPatterns,1224,58406,1224,13464,4.9541,5117
JustTheFrosting,0,58371,231,14609,4.9554,9079
DearSoho,0,58358,201,11720,4.929,9590
BlockMerch,33,58356,4664,3287,4.8706,9151
TwinkleAmi,0,58308,66,3018,4.8798,7408
caketothetop,8,58294,795,2448,4.9001,6007
XcaliburInk,0,58285,172,2587,4.9649,11356
adesignbyangie,57,58271,57,2087,4.8225,4031
EthnicBeadShop,0,58254,276,14715,4.6807,18856
TimelessAccessoryInc,2,58239,301,3230,4.9245,8752
LeChaim,0,58235,933,55232,4.8581,9675
JillMakes,0,58226,199,58805,4.9241,9686
AglowPresets,102,58221,102,2690,4.9079,2929
DaniqueJewelry,0,58208,956,21874,4.8359,9478
AFewOriginals,0,58190,137,1931,4.9221,7603
CalliopesAttic,0,58179,587,8141,4.997,18184
MackenzieTreasury,0,58160,193,15781,4.8646,9755
GlassArtStories,41,58158,197,24991,4.9875,19038
UniquelyImprint,0,58137,724,4620,4.9558,9935
SweetOddityArt,141,58137,141,12624,4.9459,5626
caramelos,0,58131,134,15507,4.9554,28105
SotakCo,48,58131,48,11253,4.9713,5264
PrimitiveTribalCraft,0,58115,296,58175,4.7339,10706
AmberLaneDesigns,1319,58055,1319,3097,4.9624,2147
RedEarthandGumtrees,289,58017,289,2108,4.8816,3075
ChewsMe,0,58001,1779,5122,4.9344,9009
PurpleElephantSTL,0,57952,351,3883,4.9508,9318
Dellamorteco,0,57948,282,58719,4.9309,17800
TheSweetwaterCo,139,57925,282,7031,4.9483,7430
BluePoppyBath,0,57919,168,11420,4.8853,9540
TheBooksmithShop,247,57912,247,13118,4.9847,6710
YarnStories,0,57883,1417,21576,4.9614,11929
bibberberry,148,57880,148,5646,4.5965,5357
MenuetDesigns,0,57876,178,14497,4.8649,8119
CallabyCrafts,0,57873,522,4987,4.9718,10955
BEADPRIDE,0,57859,1280,3209,4.9226,5764
TheWaxMouse,0,57848,46,2989,4.951,6936
BespokeWeddingGiftCo,0,57845,145,3336,4.8828,4389
grandbigdog,0,57840,2114,3951,4.8822,24526
SummerChicBoutique,0,57816,3402,8232,4.9861,10550
PerfectTransactions,0,57804,352,507,4.9388,6665
MakeitPersonalByToya,220,57744,220,4257,4.8481,1680
MadeatHomeMasks,0,57736,51,1474,4.5668,5550
HausofMonogram,0,57723,886,5689,4.7502,9185
LittleTHINGSinterest,205,57718,1164,10488,4.9539,17375
PrimestoreUS,0,57694,616,1051,4.828,7766
LuvLaceJewels,0,57673,42,5045,4.9279,7276
EnjoySVG,1749,57662,1749,3720,4.9082,3653
TheArtyApples,1485,57656,2048,5246,4.9101,4769
MelsysIllustrations,0,57643,323,19476,4.9117,8006
brightenuup,0,57639,237,5802,4.7969,6337
BackyardPeaks,0,57579,2082,1326,4.9248,8696
CoolKeyrings,0,57575,441,1757,4.8557,5469
RiverRootsCollective,0,57567,132,1831,4.9267,8483
BlocksOfLove1,0,57549,42,11610,4.9641,14173
BlueLadore,0,57542,556,8751,4.9491,16236
LabelsRus,0,57531,1695,9461,4.8659,11997
RomiWstudio,0,57507,560,3905,4.9679,12200
KayJamesStudio,964,57505,983,1726,4.8737,2227
CedarandStoneGarden,0,57483,62,8179,4.7882,7176
LauLovesCrochet,185,57475,185,8977,4.9309,3676
StationStickers,0,57471,132,19455,5.0,18449
mandbShop,0,57460,2582,3417,4.9726,7548
ContentedCatz,0,57426,724,4868,4.9636,12778
HappierToGive,30,57422,200,10584,4.9658,11362
thedaintyard,0,57416,133,21862,4.5427,6615
hollanddesigns,341,57405,341,12744,4.8532,10772
CrossStitchingLovers,961,57369,961,8940,4.959,3569
SanqunettiDesigns,960,57314,960,5888,4.9458,4374
TagYoureItJewelry,0,57312,346,15487,4.8917,9671
JOJODIYCRAFT,0,57305,992,6267,4.7949,7450
colorstones,0,57303,224,6188,4.8743,11845
ArbotiqueDesigns,0,57281,240,14398,4.8964,15519
Imagineered,0,57252,573,2804,4.8899,9022
SnapButtonJewelry,0,57240,1147,2658,4.9038,6703
NimbleNitecap,0,57235,328,5584,4.9681,7044
ilove2stamp,0,57230,60,3460,4.8459,9248
fringepop,0,57222,2748,11782,4.8825,12883
Tyuweddinggifts,0,57192,279,1905,4.8958,6413
HomespunSamplar,0,57184,2890,5985,4.9698,12948
AppliqueCornerDesign,575,57148,0,6930,4.856,5079
IMESILVER,0,57145,95,13545,4.8654,8519
Pinehart,0,57135,1850,2283,4.8939,9844
MngrmCreateWorkshop,0,57125,262,1965,4.8799,6454
Dreams2RealityCrafts,0,57114,1048,926,4.8934,7350
NellySteelPiercing,0,57111,1175,10862,4.7621,6963
wildblacksheep,0,57104,513,24231,4.7912,8482
FABULACE,0,57077,2098,7352,4.9494,15298
JazzyZebraDesigns,3631,57008,3631,6145,4.944,5005
OhSoGlitter,0,57007,313,2247,4.8609,5284
ConstantRuckus,0,56999,362,11829,4.9007,15005
TopetsyCrafts,0,56986,653,4459,4.6978,3166
KayLeeBands,0,56958,433,3909,4.9345,8527
Distinctivs,0,56932,668,1834,4.9314,7354
SWKfabrics,0,56928,738,4512,4.9692,12629
WildRoseHerbs,0,56917,196,21066,4.9601,12135
APINATA4ULLC,0,56904,1616,3111,4.8413,8355
vess65,0,56887,2886,9992,4.697,8750
dragonflybuzz,80,56884,1776,8975,4.9533,13386
CityGirlPlanners,0,56877,341,11951,4.9747,13753
123PRESETSCOM,516,56873,516,2577,4.8963,5939
BellyssaJewelry,0,56864,432,6274,4.853,10953
SunflowerTeesCo,0,56856,2062,2218,4.7667,10890
beyondtheinkuk,0,56850,0,1348,4.9752,7769
KaAnsDesigns,0,56839,116,4047,4.8409,3944
BlissfulSocks,0,56813,23,997,4.9575,6629
UKPrinted,0,56803,322,516,4.9527,5500
ImprintandImpress,0,56802,237,941,4.9538,7749
PersonalizedGallery,2,56790,399,7434,4.9545,13088
CKRLeather,0,56789,132,3448,4.8483,8459
DaisyTreasures,0,56761,556,5390,4.9214,11434
VintageWallGraphics,1,56755,1025,12720,4.7503,5059
StudioBLabels,5,56751,191,11320,4.899,9887
Whynotstopnshop,0,56745,682,5123,4.8519,11047
AlexandersAtticVa,0,56722,3401,6287,4.9292,12497
Caprilite,0,56721,2729,3299,4.7509,4667
ShyMyrtle,0,56717,1250,12298,4.953,11992
LemonGrace,0,56711,376,7684,4.9826,7214
PEGAI,0,56709,160,5594,4.9048,8720
TheManicMoose,14,56695,840,7165,4.8235,7523
AdorenStudio,201,56695,258,9482,4.8576,7340
ModernMapArt,0,56695,2836,5856,4.9417,6116
CognitiveSurplus,0,56678,768,29942,4.9456,9601
BloodyNose,0,56662,1104,2272,4.961,6331
PaperMinxPrintables,1492,56626,1492,5421,4.9019,3163
TwistedThreadsFabric,1,56618,2471,2935,4.9759,12104
xiaolizi,0,56603,827,94385,4.8135,14172
RossLina,0,56591,3,2312,4.8399,6089
TheSassySubber,2228,56579,2228,3665,4.9707,2412
EarthlyAdornments3,0,56533,2141,5554,4.9234,12931
SacredMists,0,56506,905,10309,4.9275,12993
AuthorL,0,56456,188,8407,4.9024,11874
IlkaParey,0,56436,2801,5252,4.853,7983
SmallsAndDolls,829,56385,829,1560,4.824,2408
WordsWorkPrints,0,56341,408,13630,4.9843,9811
TheWhiteCottageCo,37,56313,146,12542,4.8932,7175
DesignsbyDMK,1,56303,1333,4817,4.936,13106
BlossomSyrup,0,56291,146,3864,4.7712,5134
LittleAdamandEve,0,56281,74,13594,4.6226,9119
TheRabbitTribe,4,56275,1366,5742,4.9663,18132
mountainstreetarts,0,56272,16,11754,4.9794,13560
LinziBees,0,56270,407,817,4.9849,7248
TidePoolJewelryUS,0,56241,1278,8035,4.856,13609
NewYorkDesignStudio,75,56235,75,1429,4.8418,3443
MoonShadowPaperie,2385,56226,2385,1536,4.9209,3378
Two5Designs,1,56188,470,1172,4.9359,7627
inesjewelryfinding,0,56176,1093,5127,4.8568,5277
RainyLainDesignsLLC,1587,56173,1893,2874,4.9577,4566
PinkStrawberryStudio,0,56165,332,1370,4.9435,6435
LenaPersonalized,0,56142,154,3151,4.8012,7511
UnitySandShoppe,0,56114,139,1637,4.9019,9472
cuttingmodern,811,56100,811,10346,4.9143,4272
thebababee,0,56067,343,322,4.8652,2734
Metamorphoza,0,56065,1089,34318,4.769,12274
SparklesSupply,0,56063,839,1675,4.9764,7054
ShopStudioBlue,0,56062,534,17095,4.7948,8908
McLaughlinCreations,0,56061,906,8810,4.8989,7361
SnassyCrafter,0,56054,44,12266,4.9433,8133
DisorderlyThreads,653,56044,653,8376,4.8829,2826
d20Adventure,2,56019,418,9882,4.9353,14482
WindowShopGal,0,56019,21,20828,4.9715,9102
AllAboutTheBoxUK,0,56002,531,8231,4.8867,8186
SheepFarmFelt,0,55974,554,17446,4.9768,13235
AmmoniteSwirls,0,55946,58,2573,4.8376,6928
StarPower99,0,55941,2614,6363,4.9565,17024
VectorCreationStudio,1336,55899,1336,1095,4.929,2512
AngelicArtShop,1140,55898,1140,4450,4.8932,3796
FunUsualSuspects,0,55873,594,18965,4.9688,12974
SupplyBeads,0,55864,3148,4836,4.8711,10615
Naehhimmel,0,55857,2016,2907,4.9213,6277
AandEOriginals,2162,55847,2162,6091,4.932,2648
OliveBranchDecorCo,0,55842,137,7553,4.8486,6048
SpokenGifts,0,55841,941,760,4.9128,5898
AeraRings,0,55814,42,2340,4.8541,9473
StudioR12,0,55811,3999,6483,4.9469,7605
TheDreamingBuddha,0,55781,389,3045,4.9224,5957
FabricSupplier,0,55777,1800,8724,4.8162,9638
erdmetaljewelry,0,55774,929,6088,4.9585,5415
PineappleIslandUK,0,55753,224,5646,4.8199,6882
BellaMantra,0,55752,252,15001,4.963,10392
ItsYourTurnSocks,0,55720,226,923,4.9219,7540
PinkFoxBrands,709,55708,712,6917,4.6961,2443
TheresaRose,0,55700,380,10077,4.8162,9195
JewelryImpressions,0,55675,594,3860,4.95,8041
TailgatingPros,0,55665,833,1835,4.7874,6774
sharpshirter,0,55641,1287,23500,4.8432,9702
ToadAndLily,32,55639,2108,14683,4.9295,10147
byMilaDesign,22,55607,986,5514,4.9603,8819
DaddyMommyMe,0,55603,1054,2834,4.9198,8605
DureneJCrossStitch,216,55576,216,11140,4.9601,5823
GraphicLoveSVG,908,55576,908,733,4.9667,2410
TaniriDesigns,0,55565,106,931,4.7867,4601
posypaper,0,55553,350,21139,4.943,8820
HappilyEverEtchedInc,0,55538,501,14694,4.9603,10277
RedLyrics,0,55524,1031,6956,4.9909,10042
DecorAtBest,0,55503,115,1941,4.9232,6336
CsonkasCustomRustics,0,55500,124,6449,4.8553,5298
VeryShine,0,55498,1904,7013,4.9448,6459
shopsockprints,0,55494,448,4609,4.9528,8614
BeauMitchellBoutique,248,55493,250,6896,4.9128,5161
heidiandfinn,176,55487,176,23341,4.95,8702
HonestlyHealthy,0,55464,38,1869,4.916,8103
DreamBigPrintables,0,55457,535,9061,4.9348,9197
MisterScribbles,0,55425,466,6149,4.9428,10453
WoodNSparksCo,0,55423,53,595,4.9363,3395
ShopFlowerSeeds,0,55392,742,2553,4.5813,4366
LAminiJewelry,0,55389,937,21763,4.8308,7256
ERiaDesigns,0,55376,325,13566,4.9141,8590
wackykracker,1040,55356,1302,3500,4.9774,8585
PrettySweetParty,0,55350,173,5057,4.9563,11876
POPandPolished,0,55349,551,12147,4.8317,11139
HomegrownSilverStone,0,55344,115,17171,4.8801,10335
CraftSupplyHouse,0,55331,636,9403,4.9602,12443
Hailthenails,29,55328,530,8715,4.8303,6886
WillowCreekCompany,1,55305,854,11633,4.9416,9642
RedLineDesignsShop,0,55300,170,1666,4.9722,9125
VictorianGypsygirl,0,55278,178,9485,4.9666,15955
CabochonCreationsDIY,0,55237,1448,1780,4.916,7427
WeddingTreeGuestbook,0,55234,15,10852,4.9247,12036
NorthstormCA,0,55232,22,2012,4.7539,7449
mmmcrafts,48,55220,48,20877,4.9767,6000
HandsomeFibers,0,55214,325,4782,4.9708,15014
IronMaidArt,1,55190,442,5234,4.9593,8400
ArtisticSlimez,0,55175,0,16148,4.8739,6266
swaygirls,25,55166,453,6975,4.9891,10573
SparklingGala,0,55142,502,2071,4.9363,6552
MagnoliaBeadCompany,0,55130,820,5301,4.9107,8805
Everythingin1shop,47,55113,403,1224,4.8127,4118
TheMousierge,0,55107,830,3418,4.9278,9474
GoldenRockTX,0,55104,22,1792,4.9009,7141
AvitoProducts,0,55091,325,1465,4.9546,7820
WulflundJewelry,0,55087,2544,43995,4.8317,13730
YogetFindings,0,55085,545,6666,4.7045,8039
jlleathers,0,55074,352,7325,4.8415,5374
TheBlaithinBlairShop,0,55064,154,18721,4.903,11394
fabricjunkeez,0,55054,279,10801,4.8954,7540
AlmightySVG,37,55027,37,2383,4.6667,3020
PinkEverAfter,0,54991,173,2838,4.8723,8041
PlanningInspired,57,54990,334,17679,4.9633,9590
AlishaGoesCrafty,0,54984,387,3097,4.9411,6978
CuttablePlanet,598,54980,598,1797,4.9452,2888
DesignInFocus,0,54977,862,9472,4.8446,4838
thenotsobasicteeco,0,54963,488,5681,4.8529,8313
CatesSewModern,0,54932,1873,5434,4.9657,9989
langleymetalworks,4,54911,578,9333,4.9608,10902
WitchyStitcher,179,54896,179,27289,4.9876,10252
TreeChild1,0,54879,1335,8749,4.9446,12108
PGStones,0,54876,1313,4674,4.8721,9512
YorkSignShop,0,54873,275,6054,4.957,7356
TheHoneyBShop,0,54866,0,10213,4.8235,20822
fourbugsinarug,0,54853,165,9706,4.9724,9733
ADVdesigns,0,54833,517,2996,4.9849,6216
KinseyGraceCo,0,54772,74,14955,4.9806,8323
StagandPeachCo,146,54740,5154,5785,4.913,7644
SugarRobot,0,54720,87,20591,4.8485,9291
OakdeneDesigns,0,54709,1149,2558,4.8569,7364
ohlillydesigns,1211,54690,1490,6079,4.8766,5811
AmpdUpDesigns,426,54665,765,2903,4.9343,4523
storiarts,0,54638,166,38951,4.9093,8602
MetalHounds,0,54621,778,12540,4.9655,10166
Cconceptlab,1626,54620,1626,1922,4.9322,2603
EmbroideryMaterial,0,54619,2056,5560,4.9013,7532
HTownApparel,0,54617,700,1668,4.8646,7393
ebooba,0,54610,1017,11288,4.8472,7899
AirPlantShopCom,0,54603,309,9990,4.9157,12593
AmazEmbroidery,1,54602,339,2244,4.9394,8390
DIYFluffies,118,54592,118,25986,4.9183,5386
HDGdesigns,0,54565,92,3134,4.8405,7592
TheBeadBandit,0,54539,1564,8392,4.9088,11962
Elenaseeds,0,54530,1288,2194,4.8246,3253
bonitapatterns,118,54515,125,15167,4.8276,6100
TickledGlitzy,0,54514,1263,4529,4.9444,8754
iiela,0,54449,55,4360,4.9412,13113
ZigiDesignStudio,1556,54444,1556,4775,4.943,2812
CarpenterFarmhouse,0,54443,190,15990,4.8982,10704
MorganDayDesigns,1249,54423,1249,2999,4.9003,2675
1PoshShop,0,54414,507,3416,4.899,6080
ByCilaJewelry,0,54412,689,22985,4.8718,11953
GettinCraftywIt,1439,54403,2652,4185,4.9244,3161
MiraGiftsWorld,0,54371,110,1772,4.8099,9888
Castawayland,0,54363,769,2547,4.9942,25637
DownSouthHippie,0,54359,1558,4561,4.978,13447
Cinderellaroom,0,54356,888,3677,4.8792,6647
AdriStudioDesign,1166,54351,1166,5038,4.8991,2121
funkydreamsmosaics,0,54340,505,5439,4.9814,7854
ThePillowCoverStore,0,54317,224,12597,4.8757,8212
KNOTnNEST,0,54288,221,10578,4.8952,9227
WorldThreeStudio,0,54284,3447,5646,4.9212,6790
CreateTheCut,573,54274,577,17226,4.936,6447
TiffanyandJessica,0,54270,117,3655,4.7667,7801
CDShardwoods,0,54233,87,3501,4.9653,8658
Creativeexpres,0,54231,437,2483,4.7621,5976
LeCoqDesign,740,54223,740,9631,4.931,3532
TangerinePaperShoppe,1292,54218,1331,2704,4.9098,4025
TheJewelryGirlsPlace,0,54214,905,19562,4.8487,8834
TiloJewelry,0,54199,688,3952,4.8702,11078
LagartixaShop,1180,54192,1180,12186,4.9502,4952
HuntingtonFabricUS,0,54190,307,2272,4.9364,7731
FourPrincessBoutique,0,54189,756,2649,4.9741,7804
SVGHouse,1425,54168,1425,1797,4.9178,2602
CherryPitCrafts,0,54164,534,9195,4.8474,12408
SilentPoetryArts,0,54163,392,9640,4.8451,18671
umonograms,0,54145,869,4314,4.899,4361
CustomDivaTees,0,54135,505,2968,4.8841,5024
GregsCabochons,0,54134,437,5467,4.9935,20020
NostalgieGrafikland,1201,54124,1201,7821,4.9589,7138
TheTutuFairy,0,54107,1227,8313,4.7556,8504
GlitterTee,0,54091,79,3470,4.9619,5598
CheerandCherryDesign,2038,54089,2043,1990,4.8897,2883
Kyezi,0,54087,2317,3444,4.8901,8768
PenAndPosh,744,54070,744,4251,4.957,2954
DistinctHeadwear,0,54069,1096,4394,4.9706,11076
doctorgus,0,54058,361,16990,4.9381,13506
PolkaDotTeaFabrics,0,54031,3217,3819,4.9885,7330
TurkanaBeads,0,54016,4286,3628,4.7907,7866
KellysMagnets,0,53984,5391,10636,4.8657,9573
TheCookierydotCA,0,53969,1947,5288,4.9701,4196
SimplyEverydayMe,2181,53965,2141,3745,4.8863,3440
GraphxandMore,1826,53964,1826,4290,4.9823,2039
MermaidMarysUK,0,53960,328,1458,4.9418,11854
LuaDigitalArt,161,53950,161,2066,4.9111,2985
UnrealInkShop,0,53947,659,5899,4.6842,5470
AngelLuckyEyes,0,53940,355,4477,4.6915,8634
BijouxShope,0,53934,795,4043,4.9251,11949
StitchEmBowtique,0,53919,138,9730,5.0,8068
RemmDesign,284,53910,284,1579,4.9504,2120
YupiYeiPapers,580,53900,580,7105,4.9298,5368
FabIdeazAu,0,53877,147,884,4.8324,3897
HomeStudio,0,53874,64,17092,4.9303,14246
SHOPEVREN,0,53870,147,28382,4.8748,6524
QuirkyGirlWorkshop,0,53854,848,5275,4.9462,6636
SimpleDaintyJewelry,0,53847,134,17780,4.8393,6259
SunflowerChicSVG,2115,53844,2115,1231,4.918,2448
NaturelleGrow,0,53820,66,10072,4.8786,10256
PrettyPaperPixels,196,53814,1450,5608,4.9685,8461
Thoughtfullkeepsakes,0,53813,775,7386,4.9417,9377
dmbrohm,0,53808,4067,4629,4.954,10838
ToHappilyEverAfter,0,53787,141,3030,4.8474,4955
DabHerbMakeup,0,53769,54,18984,4.8025,11288
SugarDoodleShop,23,53763,23,1940,4.1667,889
diyfashion123,0,53762,1020,8497,4.7757,9020
fabricsandtrimmings,0,53725,873,14496,4.9672,14503
SouthernRibbonOutlet,0,53708,1266,3606,4.8688,8658
KawaiiKave,0,53680,712,24811,4.8114,10499
SweetShapesCo,0,53672,2922,4357,4.7264,3129
JessamaDesign,106,53660,1037,6748,4.9412,6365
BabyxLibrary,601,53641,601,802,4.8263,2178
EmmaStudies,282,53636,282,11805,4.9093,2777
opiadesignsstudio,778,53620,778,6219,4.9595,4516
kutekiddo,0,53618,81,6694,4.8982,8975
sipstylish,0,53612,54,5966,4.9436,7995
notforgottenfarm,189,53599,653,11436,4.9479,11053
GoldieSupplies,0,53598,1473,10557,4.8512,4542
WillowLaneCollective,1,53596,178,1542,4.9589,4929
BywaterFabric,0,53595,1666,6257,4.956,15073
IrisNaiderDesign,369,53587,524,1726,4.9061,4184
WunderlandDerStoffe,0,53562,3747,3033,4.9447,7881
BeadsHouse,0,53561,1642,6824,4.7218,23913
TheCookieCutterClub,876,53543,1831,3282,4.8947,5721
EdiblePartyImages,0,53531,1178,4481,4.8322,7147
AniasCollection,0,53529,113,984,4.9629,6259
GiftedOak,0,53528,43,6678,4.9719,11138
SincerelySilverShop,0,53511,716,4181,4.7712,7019
marleysmonsters,0,53498,87,32523,4.9416,10852
CRUCupsStore,0,53461,83,1620,4.9384,7776
ZinArtStitch,451,53420,451,1999,4.8827,3201
GingerPeachTee,0,53386,372,1373,4.9084,4767
KnaughtyKnickers,0,53386,1122,6641,4.8932,7504
PaperDogSupplyCo,0,53381,1884,7233,4.958,10508
roxycreations,158,53380,162,10253,4.9882,9960
SanbaoStudio,0,53377,234,4145,4.9406,3932
misspokadot,1030,53367,1254,5317,4.9388,5979
Ellad2,478,53366,478,8792,4.8901,7279
scrapbits,252,53359,1291,13230,4.9006,11303
DIYLoveOcean,0,53321,2422,8731,4.819,8722
RustyCowgirlBoutique,15,53311,1356,1574,4.8993,6614
CuddleSleepDream,0,53292,673,12603,4.9267,10332
PlannerChickDesigns,6,53258,38,10562,4.9785,23926
BeGenuine,0,53256,505,8448,4.8539,6972
Pearlykarpel,7,53253,2990,5071,4.9206,6949
NovoGraphics,559,53234,559,1138,4.9203,2548
GlamourBrideUSA,0,53229,918,2772,4.889,7122
SilverSpoonLifestyle,0,53211,123,3697,4.9024,8392
SewPerfectlyVintage,0,53207,1357,5385,4.9794,11065
BrewStitched,0,53201,2227,5831,4.9596,10603
RogueRetro,0,53158,3558,29426,4.9068,17691
SimeonDJewelry,0,53150,765,9570,4.8195,7398
EveAndJoyDE,0,53110,104,2765,4.8359,7821
LittleMissDaisyrose,0,53098,275,9737,4.9886,15840
sugarloop,0,53089,335,19410,4.9951,11468
MadeByLauraJane,0,53088,127,1044,4.9504,4992
DrawYourPortrait,0,53083,447,7577,4.9532,9878
IvyCustomShirt,3,53082,981,1776,4.8334,7998
embhome,940,53071,940,7684,4.9212,4175
UnicornEmpirePrints,1,53034,76,24055,4.9767,13094
NelsonsGifts,0,53025,595,19621,4.9718,10387
