shop_name,digital_listing_count,sold_count,active_listing_count,favorites_count,average_rating,total_rating_count
Susabellas,0,174070,1008,24320,4.9146,29857
HappyHeartSVG,3288,173947,3288,5483,4.9388,7646
BloomOwl,0,173641,254,10094,4.975,29844
turbansfortots,0,173501,61,36593,4.9737,24623
ZECworkshop,1137,173118,1137,4145,4.9357,8421
ElimStation,0,171561,244,2932,4.9189,19546
LLDgiftsByLaurenLash,0,171197,286,7795,4.8857,23216
FlowertownWeddings,0,170725,225,8149,4.8859,28369
PsychicAmandaStudio,70,170676,70,8842,4.7591,17328
Lovelybeadllc,0,170368,3057,6584,4.9088,15080
TheCuriousGem,0,169836,1885,17678,4.9459,29894
FreshCutsStudio,1497,169720,1497,4425,4.9369,8877
PastPatternsPalooza,1833,168785,1833,10102,4.8009,9657
SteshaParty,0,168775,2514,11505,4.9282,22858
SSweddings,0,168717,234,9900,4.8614,14402
PersonalizationMall,0,168435,2328,3678,4.8481,21108
RoseGoldRebel,0,168127,904,13249,4.8669,17984
SugarHouseSwaddles,0,167754,112,14208,4.9182,27674
notPERFECTLINEN,0,167609,463,95418,4.9568,36274
PrettyTape,0,167608,161,54661,4.9595,52849
honeyinked,0,167403,341,26854,4.9709,26996
retirementfund,0,167388,262,24928,4.9607,29575
PersonalizationLab,0,167232,99,5647,4.7743,29556
SewWhatQuiltShop,0,167050,2768,8951,4.9547,30119
CustomMania,0,166993,336,3076,4.8381,13700
EmotionDesigns,2845,166975,2845,12454,4.9647,8818
ToandMoStudio,848,166267,848,3766,4.941,8641
DecoratedBliss,0,165726,528,10376,4.9158,24305
GoodDayMasks,0,165419,21,3416,4.945,11815
DivineDigitalDiva,2697,165259,2697,13832,4.9219,10987
ConnectCo,0,164871,592,23411,4.8901,40735
MissMatatabi,0,164742,1139,56002,4.9922,41443
HempBeadery,0,164093,909,27459,4.898,41312
SwoonAndShimmer,0,164007,4346,14824,4.9255,21360
materialgirlchic,0,163917,2978,17307,4.9615,33468
AnthemStickerCompany,0,163816,1966,13465,4.9833,31301
CricketPaperCo,0,162772,577,19689,4.9818,51207
JewelryToolBox,3,162768,463,14339,4.9727,38039
KatieAbey,0,162475,228,43679,4.9762,33988
BeansandPeanuts,0,162197,715,6861,4.9783,19014
JewelryBlues,0,161613,248,15356,4.9223,21860
icecreaMNlove,0,161530,480,4284,4.9426,14478
PUPERITA,239,161288,239,23132,4.9371,14877
StrawberryPartyPrint,2422,160910,3384,4808,4.9677,11434
silkandmore,0,160907,1840,54864,4.8251,27437
norajane,0,160425,192,49157,4.98,49577
gemstones2u,0,160135,5536,8065,4.8743,22344
Silveristic,0,160085,76,9635,4.8978,22529
DigitalArtsi,413,159782,413,17788,4.9775,14861
iQuickly,1761,159728,1761,3541,4.9094,5325
southernmysass,0,159483,340,13585,4.8655,24190
mountainshadowdesign,0,159357,85,13879,4.9412,72111
BreezePrintCompany,0,159188,1539,14464,4.8601,20154
GreatLakesDigitals,2475,158853,2475,2251,4.9447,7414
DarlingJewelryStudio,0,158653,400,14143,4.7865,20974
WildflowerandCompany,0,158483,644,49228,4.9703,26128
BrilliantBridalShop,0,158454,144,2676,4.937,9550
WITHPUNS,0,158446,1230,2091,4.9701,12351
TheLittleHedgerow,0,158378,1159,24541,4.9539,35446
SartorMasks,0,157783,10,2260,4.9019,17574
FoxAndCactus,0,157683,101,15512,5.0,62459
ButtonJones,0,157296,1574,10087,4.9689,35308
TheSageGoddess,0,157122,162,38609,4.875,47715
leftcoastoriginal,8,156774,688,13915,4.879,25425
TheHatandI,200,156771,200,30090,4.9113,8501
TumblersWithMelissa,3814,156617,3814,6559,4.9767,8102
Petershams,0,156496,3265,22403,4.9127,24545
OhSoPrettyCases,0,156444,881,13798,4.7063,29584
mrcwoodproducts,0,156249,1552,30321,4.9613,28571
ATArtDigital,875,156171,875,22495,4.9528,12686
treasureimports,0,155752,144,12417,4.7311,17349
KallyCo,0,155694,778,7899,4.8769,19738
LeRoseGifts,0,155686,561,20428,4.9202,16647
OakhillSilverSupply,0,154925,1402,19922,4.9407,55165
Lunaijewelry,0,154864,284,55622,4.9255,24013
TheTurnipSeed,0,154649,1684,10193,4.867,19244
CrazyDogTshirts,0,154445,3548,15249,4.846,26393
TheSupplyGuy,0,154062,2359,20721,4.9212,30020
BlissCrystals,0,153659,950,43928,4.9268,44258
