Predicted Sales,Actual Sales
52407.49955,47118
39996.71853,30340
41955.01872,39725
49946.71984,34625
31304.55785,23114
208311.5207,222450
37816.92159,35782
27452.26285,23446
65512.66767,80388
46238.05739,51706
60470.23984,70719
34223.88442,27071
40661.43882,33522
30957.42168,24917
40298.0435,37157
29936.35418,108025
38679.54853,40018
68681.94588,74603
34116.77758,24942
28367.69224,55027
37539.46724,49613
49274.04365,27102
34138.61657,40643
40943.74192,35734
42407.19906,25185
32094.46324,25901
51850.45919,43038
40631.555,38613
75685.66816,32310
62078.22137,40627
24764.94693,25744
52464.59428,24086
93322.73896,60400
42956.35721,32840
43476.79336,26985
51238.72687,38728
48469.89762,70396
58479.52765,57662
63885.80223,70474
39386.31343,28480
33460.64386,25373
31605.26033,42023
71827.11299,78837
45222.72745,64378
48658.66405,44010
40447.38833,35375
51789.10473,40496
52979.10242,43715
57968.53192,45597
31165.0021,22842
47607.25474,41402
37429.38005,28563
53994.51145,109856
49510.33684,41525
123533.7912,82432
26767.69854,25448
32196.08167,36893
53343.49332,75416
43752.74134,69485
33220.38102,25948
72626.31609,51883
61036.59633,41631
63276.47221,50976
33063.36316,22938
25403.09633,28112
37253.19289,34420
50418.43518,33974
41316.42914,36834
126044.9099,117733
34539.4998,24534
58255.50169,52354
35980.3787,25665
30788.35949,27449
36009.91783,32910
35193.89104,26627
43713.59994,60493
46189.85664,50900
25438.89336,24490
100228.9061,114846
27235.13045,44530
47541.87211,55899
40288.29259,26984
37173.73963,23732
28707.47339,30834
116948.8934,89379
31299.63738,25754
38750.28157,29512
46773.60729,51677
31421.17782,39093
33145.40321,88000
78437.0716,155686
29873.41722,24298
99928.38925,110384
74972.16993,128190
28557.97257,30145
77021.43981,58446
33583.18902,25491
37751.55564,39480
37336.74088,41196
69989.59313,90223
42624.7986,34973
31601.74696,40255
24454.89205,25160
37740.59153,24657
112854.8159,131928
35113.61384,27900
51503.12994,88897
172128.6408,122288
74943.31803,87277
30422.44614,56235
110920.617,106497
33629.75803,48331
30891.44837,23145
56574.0808,60834
58437.48292,54069
106887.4498,148589
77341.2438,107154
37537.5277,29900
113161.0915,229355
27101.60841,24456
50163.00747,32343
55107.03183,49999
62642.26374,43255
44313.20044,34101
29675.47183,23609
27536.74958,24596
61617.12735,44777
52035.0947,45328
53107.92571,62980
33834.98271,25671
33850.90235,24477
37825.32682,36409
32472.90207,26183
44128.8677,55720
53113.29709,27163
42030.3238,81099
27013.71223,24131
49173.58818,29467
21885.51672,25788
49050.42599,63125
66686.22058,54058
44554.31007,24220
39202.33133,27911
36969.49974,27487
40419.869,30906
29819.79692,23937
34331.34359,25620
34677.45785,49971
61660.2309,24919
30269.083,30564
28038.58427,23858
29542.52737,45084
33571.07323,26272
34764.77836,37611
32966.02402,55113
45076.6645,39204
32338.69999,27134
41117.48813,52521
33375.37597,26240
30152.86823,30043
25039.43185,24361
67304.18094,36323
32930.82048,22906
33372.58065,26635
162053.9224,198891
31325.31978,30406
41594.45492,30717
42900.95003,45169
48560.41121,31190
44537.78116,27305
27654.95997,33579
60577.00176,34496
37760.2042,26096
50953.34545,33020
35971.86379,22853
50148.65215,95807
38339.91743,44406
63014.02547,71065
47214.57686,28588
30556.3652,26129
41592.09177,33027
35309.63259,30740
39779.78261,47248
30642.15152,29983
41076.01966,32462
30581.08219,35332
53626.81777,56887
31290.59034,30428
60755.65707,34385
58696.14854,90461
33278.54838,24479
33231.32246,23308
41881.43358,47243
32137.77812,25474
108074.6048,128941
37034.98956,32308
29859.93883,24380
38882.32382,33477
33778.89321,24244
32293.28073,25409
38010.88314,34577
46701.54477,52620
33179.26481,77090
29256.82051,34591
82329.11805,58890
35428.73592,22945
58527.01034,75286
32065.72752,46825
31662.92906,35009
42818.41269,35410
40804.53587,42575
35366.76864,39728
32041.85863,25228
32483.219,29581
42073.50929,32031
45605.54134,23668
37566.46854,28297
31194.27711,61727
56529.50248,29350
42942.60586,59289
45140.32397,44528
24335.22165,23272
30269.4742,31631
72074.98052,45195
39181.34681,37320
39642.95051,27872
53407.41132,30338
33904.0961,26293
33139.05223,25655
42360.64178,51003
50233.91031,36572
89028.48588,50145
52345.59941,72358
139177.3205,123486
33356.56298,25198
88492.2187,134044
34416.8891,23834
31316.06105,31517
35481.70149,23858
28499.20352,36732
66363.34381,40011
59299.19152,78843
29918.43588,22979
32515.73084,24631
36451.592,23975
47454.22789,27851
171436.2746,88477
39946.28304,29135
82332.91069,55941
49165.02912,103085
38753.26672,26430
45945.74782,61766
66458.60258,41470
34421.3366,24102
44685.55584,31450
48357.23409,32476
43988.85854,29785
28200.765,27815
54705.77088,37607
56063.80839,87947
36096.00386,49257
28849.38976,25329
64037.89439,58948
58943.69284,31062
71144.49363,45841
31558.34397,25679
51352.13027,45954
43078.09372,28808
37708.18988,26071
46230.05526,62981
38638.03149,59788
81767.1963,120636
42914.49477,44211
33447.67338,27282
57185.5306,62791
89186.14142,54134
37249.41015,32692
43256.72969,47690
31937.20847,22982
40776.52604,28462
78953.57487,27690
46700.46012,27116
80230.72202,170676
36958.16741,36959
32232.93325,26116
53216.45069,40506
87223.11238,48942
50589.80216,50749
85662.07348,71918
66467.36025,74363
47310.55916,22833
29749.01095,23384
53981.60425,30873
85060.03335,102367
30795.37079,54530
43122.86725,28517
31066.23713,24435
58972.45144,39821
114502.1491,99696
37530.16357,32909
40119.7435,26624
49992.43625,80175
38846.80612,23099
34333.66252,30170
53998.15017,38047
31980.10896,29406
40133.22872,52831
30492.92327,23983
32105.35606,27162
77164.85521,118441
24109.90043,24627
51269.67507,47425
42527.51445,35699
37916.80296,26987
42787.46696,33790
33605.62504,35334
41561.3389,39185
42370.75338,23211
110433.6279,128032
40157.66587,61938
47678.57846,44996
46165.3186,30967
21071.70157,23272
34080.33036,39601
50562.58175,39580
59538.84674,39412
47513.85203,41169
52431.17962,54444
44613.97451,27955
63721.88362,61473
36807.04781,36934
38502.44294,34637
27133.98922,23091
43345.24245,47160
38346.62037,24244
29349.62507,24951
40717.34768,45247
35491.36547,34576
46433.26501,46623
45306.93841,38911
42915.42175,51825
133530.5013,176096
40319.17564,42982
30068.19885,42815
45663.45363,33584
28822.02461,41438
32752.52462,70721
43695.47733,46336
31368.4007,27710
41185.78238,37771
44393.17025,57111
258530.1515,218802
